id;fila;columna;nombre_persona;estado;venta_id
1;19964;26513;blissfully;plus self-reliant considering;1
2;17487;10008;beneath;anesthetize wherever;2
3;1388;30720;solemnly excepting stake;awesome acquaintance;3
4;20986;16149;gah;safely whoa;4
5;18750;32276;by strictly;duh below;5
6;12898;12735;charming absent;whereas bowler;6
7;21626;31160;exhaust;gallivant off;7
8;3810;32373;blah unwilling;instantly mom endow;8
9;16453;25262;to amongst carouse;helpfully inasmuch;9
10;28962;28556;cone source give;speedy outside;10
